id;name;detail;recognizer_name;supported_lang;pattern_name;regex;score;context;deny_list;supported_entity;creation_date;last_updated
1;Oregon;Programmable Planner;contextually-based Soap;Shoes attitude dedicated;Soft firewall Circle;connect feed;8127;Pants Unbranded;Fantastic well-modulated;Incredible;2021-07-24T10:16:59;2021-07-23T17:06:08
2;drive;Alabama Small Agent;withdrawal quantifying;Incredible Baby withdrawal;viral;enterprise Buckinghamshire RAM;23972;Beauty Savings;overriding Garden Market;facilitate Island intuitive;2021-07-24T01:52:27;2021-07-23T18:50:51
3;Rubber models Fresh;calculating Usability Cotton;Computer Music Profound;Awesome;User-centric bleeding-edge Assistant;Saint dynamic challenge;66165;administration;payment deposit;Ngultrum;2021-07-24T04:08:43;2021-07-24T09:30:14
4;services Investor Bedfordshire;Buckinghamshire connecting Web;Islands Incredible;Human;programming open-source;multimedia indigo Garden;98906;out-of-the-box Dinar;cross-platform Global Account;bluetooth Botswana Canada;2021-07-24T05:11:12;2021-07-23T22:38:17
5;Guilder Dollar;XSS;AGP Automotive Mouse;Specialist Product AGP;blue Keyboard;conglomeration;19233;Customizable Western override;generating;synergize alarm;2021-07-23T20:43:42;2021-07-23T14:19:38
6;Auto;Books Florida Guarani;Light;Account one-to-one;generate Hawaii;Soft Small Market;66207;Supervisor lime Rapids;invoice matrix North;Pound;2021-07-24T04:32:56;2021-07-24T07:13:23
7;Devolved Books;intermediate Markets program;Trafficway HTTP Chair;optical USB;Books;up;25959;Regional maroon;Card GB Minnesota;model Refined overriding;2021-07-24T05:51:13;2021-07-24T07:36:45
8;Steel Cliffs plug-and-play;Response;Facilitator;white embrace;Berkshire Consultant Massachusetts;deposit Concrete;20819;Lebanon Bedfordshire;gold;sexy generation Drives;2021-07-23T23:35:45;2021-07-24T10:29:26
9;Virtual Sausages drive;copy Soft;Toys invoice Soft;Computers invoice schemas;Group Quality;Bhutanese applications Congolese;69561;orange;Idaho;Sausages;2021-07-23T14:27:51;2021-07-23T22:09:47
10;bleeding-edge Isle User-centric;microchip;magenta Junction;solid;copying;Bedfordshire application users;43880;project Cotton;Wooden state;Costa;2021-07-23T18:30:04;2021-07-23T23:48:42
